"car","timestamp","location","location2","buttonId","state","total"
"Car 1","17/5/2025 T=15:53:40","Hang Fa Chuen PTI","Siu Sai Wan",1,"ON",1
"Car 1","17/5/2025 T=15:53:40","Hang Fa Chuen PTI","Siu Sai Wan",2,"ON",2
"Car 1","17/5/2025 T=15:53:41","Hang Fa Chuen PTI","Siu Sai Wan",3,"ON",3
"Car 1","17/5/2025 T=15:53:41","Hang Fa Chuen PTI","Siu Sai Wan",4,"ON",4
"Car 1","17/5/2025 T=15:53:41","Hang Fa Chuen PTI","Siu Sai Wan",5,"ON",5
"Car 1","17/5/2025 T=15:53:42","Hang Fa Chuen PTI","Siu Sai Wan",6,"ON",6
"Car 1","17/5/2025 T=15:53:42","Hang Fa Chuen PTI","Siu Sai Wan",7,"ON",7
"Car 1","17/5/2025 T=16:05:12","Hang Fa Chuen PTI","Siu Sai Wan",8,"ON",8
"Car 1","17/5/2025 T=16:05:12","Hang Fa Chuen PTI","Siu Sai Wan",9,"ON",9
"Car 1","17/5/2025 T=16:05:13","Hang Fa Chuen PTI","Siu Sai Wan",10,"ON",10
"Car 1","17/5/2025 T=16:05:13","Hang Fa Chuen PTI","Siu Sai Wan",13,"ON",11
"Car 1","17/5/2025 T=16:05:13","Hang Fa Chuen PTI","Siu Sai Wan",12,"ON",12
"Car 1","17/5/2025 T=16:05:14","Hang Fa Chuen PTI","Siu Sai Wan",11,"ON",13
"Car 1","17/5/2025 T=16:05:14","Hang Fa Chuen PTI","Siu Sai Wan",14,"ON",14
"Car 1","17/5/2025 T=16:05:14","Hang Fa Chuen PTI","Siu Sai Wan",15,"ON",15
"Car 1","17/5/2025 T=16:05:14","Hang Fa Chuen PTI","Siu Sai Wan",16,"ON",16
"Car 1","17/5/2025 T=16:05:15","Hang Fa Chuen PTI","Siu Sai Wan",19,"ON",17
"Car 1","17/5/2025 T=16:05:15","Hang Fa Chuen PTI","Siu Sai Wan",18,"ON",18
"Car 1","17/5/2025 T=16:05:15","Hang Fa Chuen PTI","Siu Sai Wan",17,"ON",19
"Car 1","17/5/2025 T=16:05:18","1.Shing Tai Rd","Siu Sai Wan",3,"OFF",18
"Car 1","17/5/2025 T=16:05:19","1.Shing Tai Rd","Siu Sai Wan",6,"OFF",17
"Car 1","17/5/2025 T=16:05:19","1.Shing Tai Rd","Siu Sai Wan",9,"OFF",16
"Car 1","17/5/2025 T=16:05:22","2.Wing Tai Rd","Siu Sai Wan",7,"OFF",15
"Car 1","17/5/2025 T=16:05:22","2.Wing Tai Rd","Siu Sai Wan",10,"OFF",14
"Car 1","17/5/2025 T=16:05:22","2.Wing Tai Rd","Siu Sai Wan",9,"ON",15
"Car 1","17/5/2025 T=16:05:23","2.Wing Tai Rd","Siu Sai Wan",6,"ON",16
"Car 1","17/5/2025 T=16:05:23","2.Wing Tai Rd","Siu Sai Wan",7,"ON",17
"Car 1","17/5/2025 T=16:05:23","2.Wing Tai Rd","Siu Sai Wan",10,"ON",18
"Car 1","17/5/2025 T=16:05:25","3.Ka Yip St","Siu Sai Wan",5,"OFF",17
"Car 1","17/5/2025 T=16:05:26","3.Ka Yip St","Siu Sai Wan",8,"OFF",16
"Car 1","17/5/2025 T=16:05:26","3.Ka Yip St","Siu Sai Wan",11,"OFF",15
"Car 1","17/5/2025 T=16:05:26","3.Ka Yip St","Siu Sai Wan",12,"OFF",14
"Car 1","17/5/2025 T=16:05:26","3.Ka Yip St","Siu Sai Wan",9,"OFF",13
"Car 1","17/5/2025 T=16:05:27","3.Ka Yip St","Siu Sai Wan",6,"OFF",12
"Car 1","17/5/2025 T=16:05:27","3.Ka Yip St","Siu Sai Wan",9,"ON",13
"Car 1","17/5/2025 T=16:05:27","3.Ka Yip St","Siu Sai Wan",12,"ON",14
"Car 1","17/5/2025 T=16:05:28","3.Ka Yip St","Siu Sai Wan",11,"ON",15
"Car 1","17/5/2025 T=16:05:28","3.Ka Yip St","Siu Sai Wan",8,"ON",16
"Car 1","17/5/2025 T=16:05:28","3.Ka Yip St","Siu Sai Wan",5,"ON",17
"Car 1","17/5/2025 T=16:05:28","3.Ka Yip St","Siu Sai Wan",6,"ON",18
"Car 1","17/5/2025 T=16:05:31","4.Sun Yip St","Siu Sai Wan",3,"ON",19
"Car 1","17/5/2025 T=16:05:33","5.Siu Sai Wan Rd","Siu Sai Wan",3,"OFF",18
"Car 1","17/5/2025 T=16:05:34","5.Siu Sai Wan Rd","Siu Sai Wan",4,"OFF",17
"Car 1","17/5/2025 T=16:05:38","Cheerful Garden","Hang Fa Chuen PTI",1,"OFF",16
"Car 1","17/5/2025 T=16:05:38","Cheerful Garden","Hang Fa Chuen PTI",2,"OFF",15
"Car 1","17/5/2025 T=16:05:39","Cheerful Garden","Hang Fa Chuen PTI",7,"OFF",14
"Car 1","17/5/2025 T=16:05:39","Cheerful Garden","Hang Fa Chuen PTI",10,"OFF",13
"Car 1","17/5/2025 T=16:05:39","Cheerful Garden","Hang Fa Chuen PTI",13,"OFF",12
"Car 1","17/5/2025 T=16:05:40","Cheerful Garden","Hang Fa Chuen PTI",16,"OFF",11
"Car 1","17/5/2025 T=16:05:40","Cheerful Garden","Hang Fa Chuen PTI",19,"OFF",10
"Car 1","17/5/2025 T=16:05:40","Cheerful Garden","Hang Fa Chuen PTI",18,"OFF",9
"Car 1","17/5/2025 T=16:05:40","Cheerful Garden","Hang Fa Chuen PTI",15,"OFF",8
"Car 1","17/5/2025 T=16:05:41","Cheerful Garden","Hang Fa Chuen PTI",12,"OFF",7
"Car 1","17/5/2025 T=16:05:41","Cheerful Garden","Hang Fa Chuen PTI",9,"OFF",6
"Car 1","17/5/2025 T=16:05:41","Cheerful Garden","Hang Fa Chuen PTI",6,"OFF",5
"Car 1","17/5/2025 T=16:05:42","Cheerful Garden","Hang Fa Chuen PTI",6,"ON",6
"Car 1","17/5/2025 T=16:05:42","Cheerful Garden","Hang Fa Chuen PTI",5,"OFF",5
"Car 1","17/5/2025 T=16:05:42","Cheerful Garden","Hang Fa Chuen PTI",6,"OFF",4
"Car 1","17/5/2025 T=16:05:43","Cheerful Garden","Hang Fa Chuen PTI",8,"OFF",3
"Car 1","17/5/2025 T=16:05:43","Cheerful Garden","Hang Fa Chuen PTI",11,"OFF",2
"Car 1","17/5/2025 T=16:05:43","Cheerful Garden","Hang Fa Chuen PTI",14,"OFF",1
"Car 1","17/5/2025 T=16:05:44","Cheerful Garden","Hang Fa Chuen PTI",17,"OFF",0
"Car 1","17/5/2025 T=16:05:45","Cheerful Garden","Hang Fa Chuen PTI",1,"ON",1
"Car 1","17/5/2025 T=16:05:45","Cheerful Garden","Hang Fa Chuen PTI",2,"ON",2
"Car 1","17/5/2025 T=16:05:46","Cheerful Garden","Hang Fa Chuen PTI",4,"ON",3
"Car 1","17/5/2025 T=16:05:46","Cheerful Garden","Hang Fa Chuen PTI",3,"ON",4
"Car 1","17/5/2025 T=16:05:46","Cheerful Garden","Hang Fa Chuen PTI",5,"ON",5
"Car 1","17/5/2025 T=16:05:46","Cheerful Garden","Hang Fa Chuen PTI",6,"ON",6
"Car 1","17/5/2025 T=16:05:47","Cheerful Garden","Hang Fa Chuen PTI",7,"ON",7
"Car 1","17/5/2025 T=16:05:47","Cheerful Garden","Hang Fa Chuen PTI",10,"ON",8
"Car 1","17/5/2025 T=16:05:47","Cheerful Garden","Hang Fa Chuen PTI",9,"ON",9
"Car 1","17/5/2025 T=16:05:47","Cheerful Garden","Hang Fa Chuen PTI",8,"ON",10
"Car 1","17/5/2025 T=16:05:48","Cheerful Garden","Hang Fa Chuen PTI",11,"ON",11
"Car 1","17/5/2025 T=16:05:48","Cheerful Garden","Hang Fa Chuen PTI",12,"ON",12
"Car 1","17/5/2025 T=16:05:48","Cheerful Garden","Hang Fa Chuen PTI",13,"ON",13
"Car 1","17/5/2025 T=16:05:51","7.Ka Yip St","Hang Fa Chuen PTI",16,"ON",14
"Car 1","17/5/2025 T=16:05:51","7.Ka Yip St","Hang Fa Chuen PTI",15,"ON",15
"Car 1","17/5/2025 T=16:05:51","7.Ka Yip St","Hang Fa Chuen PTI",18,"ON",16
"Car 1","17/5/2025 T=16:05:52","7.Ka Yip St","Hang Fa Chuen PTI",19,"ON",17
"Car 1","17/5/2025 T=16:05:53","8.Sheung On St","Hang Fa Chuen PTI",14,"ON",18
"Car 1","17/5/2025 T=16:05:55","9.Chai Wan Rd","Hang Fa Chuen PTI",9,"OFF",17
"Car 1","17/5/2025 T=16:05:56","9.Chai Wan Rd","Hang Fa Chuen PTI",12,"OFF",16
"Car 1","17/5/2025 T=16:05:56","9.Chai Wan Rd","Hang Fa Chuen PTI",15,"OFF",15
"Car 1","17/5/2025 T=16:05:57","9.Chai Wan Rd","Hang Fa Chuen PTI",17,"ON",16
"Car 1","17/5/2025 T=16:05:57","9.Chai Wan Rd","Hang Fa Chuen PTI",15,"ON",17
"Car 1","17/5/2025 T=16:05:59","9.Chai Wan Rd","Hang Fa Chuen PTI",10,"OFF",16
"Car 1","17/5/2025 T=16:05:59","9.Chai Wan Rd","Hang Fa Chuen PTI",9,"ON",17
"Car 1","17/5/2025 T=16:06:00","9.Chai Wan Rd","Hang Fa Chuen PTI",12,"ON",18
"Car 1","17/5/2025 T=16:06:02","10.Wing Tai St","Hang Fa Chuen PTI",10,"ON",19
"Car 1","17/5/2025 T=16:06:02","10.Wing Tai St","Hang Fa Chuen PTI",7,"OFF",18
"Car 1","17/5/2025 T=16:06:05","11.Tsui Wan St","Hang Fa Chuen PTI",6,"OFF",17
"Car 1","17/5/2025 T=16:06:05","11.Tsui Wan St","Hang Fa Chuen PTI",6,"ON",18
"Car 1","17/5/2025 T=16:06:05","11.Tsui Wan St","Hang Fa Chuen PTI",7,"ON",19
"Car 1","17/5/2025 T=16:06:08","13.Shing Tai Rd","Hang Fa Chuen PTI",1,"OFF",18
"Car 1","17/5/2025 T=16:06:08","13.Shing Tai Rd","Hang Fa Chuen PTI",3,"OFF",17
"Car 1","17/5/2025 T=16:06:09","13.Shing Tai Rd","Hang Fa Chuen PTI",6,"OFF",16
"Car 1","17/5/2025 T=16:06:09","13.Shing Tai Rd","Hang Fa Chuen PTI",7,"OFF",15
"Car 1","17/5/2025 T=16:06:09","13.Shing Tai Rd","Hang Fa Chuen PTI",4,"OFF",14
"Car 1","17/5/2025 T=16:06:10","13.Shing Tai Rd","Hang Fa Chuen PTI",2,"OFF",13
"Car 1","17/5/2025 T=16:06:10","13.Shing Tai Rd","Hang Fa Chuen PTI",10,"OFF",12
"Car 1","17/5/2025 T=16:06:10","13.Shing Tai Rd","Hang Fa Chuen PTI",9,"OFF",11
"Car 1","17/5/2025 T=16:06:11","13.Shing Tai Rd","Hang Fa Chuen PTI",6,"ON",12
"Car 1","17/5/2025 T=16:06:11","13.Shing Tai Rd","Hang Fa Chuen PTI",3,"ON",13
"Car 1","17/5/2025 T=16:06:11","13.Shing Tai Rd","Hang Fa Chuen PTI",1,"ON",14
"Car 1","17/5/2025 T=16:06:14","Hang Fa Chuen PTI","Hang Fa Chuen PTI",1,"OFF",13
"Car 1","17/5/2025 T=16:06:14","Hang Fa Chuen PTI","Hang Fa Chuen PTI",3,"OFF",12
"Car 1","17/5/2025 T=16:06:15","Hang Fa Chuen PTI","Hang Fa Chuen PTI",6,"OFF",11
"Car 1","17/5/2025 T=16:06:15","Hang Fa Chuen PTI","Hang Fa Chuen PTI",5,"OFF",10
"Car 1","17/5/2025 T=16:06:16","Hang Fa Chuen PTI","Hang Fa Chuen PTI",8,"OFF",9
"Car 1","17/5/2025 T=16:06:16","Hang Fa Chuen PTI","Hang Fa Chuen PTI",14,"OFF",8
"Car 1","17/5/2025 T=16:06:17","Hang Fa Chuen PTI","Hang Fa Chuen PTI",17,"OFF",7
"Car 1","17/5/2025 T=16:06:17","Hang Fa Chuen PTI","Hang Fa Chuen PTI",11,"OFF",6
"Car 1","17/5/2025 T=16:06:17","Hang Fa Chuen PTI","Hang Fa Chuen PTI",12,"OFF",5
"Car 1","17/5/2025 T=16:06:18","Hang Fa Chuen PTI","Hang Fa Chuen PTI",15,"OFF",4
"Car 1","17/5/2025 T=16:06:18","Hang Fa Chuen PTI","Hang Fa Chuen PTI",18,"OFF",3
"Car 1","17/5/2025 T=16:06:19","Hang Fa Chuen PTI","Hang Fa Chuen PTI",16,"OFF",2
"Car 1","17/5/2025 T=16:06:19","Hang Fa Chuen PTI","Hang Fa Chuen PTI",13,"OFF",1
"Car 1","17/5/2025 T=16:06:19","Hang Fa Chuen PTI","Hang Fa Chuen PTI",19,"OFF",0
